	302D	303D	305D	306D	307D	308D	311D	312D	313D	314D	315D	316D	317D	318D	320D	322D	324D	327D	328D	330D	331D	332D	334D	335D	336D	337D	338D	340D	342D	343D	344D	347D	349D	350D	351D	352D	353D	354D	355D	356D	368D	371D	374D	377D	378D	379D	381D	383D	384D	388D	389D	392D	395D	398D	399D	400D	401D	402D	403D	407D	408D	409D	410D	411D
	3.530234557	3.198158643	3.018014908	2.82235211	2.50511218	3.670158071	2.456804447	2.50777094	2.295977945	2.019958823	2.355886341	2.525034634	2.492614281	3.102948349	2.139409558	3.172851571	3.493334029	3.136036636	3.125726902	3.698082938	2.934697617	3.249809182	3.320628346	2.724078043	3.119749798	1.805578533	3.295213164	2.854754729	1.694307214	2.677560186	2.597096305	1.640512087	2.430550135	2.375122345	1.90489803	2.287653303	1.976308978	1.707230476	1.691681752	1.973700681	2.746975515	2.183292756	2.092327501	2.621790447	2.144555274	1.681135898	2.333500143	2.35764604	1.571141771	1.686328052	1.860106632	1.63448135	1.523015967	3.006130052	2.375606937	1.749184375	2.038729378	1.624197323	1.891210123	1.797203474	1.705307613	1.473772387	1.865925527	2.496643376
	3.02620998	3.115834573	3.396068121	2.501598618	2.527049346	3.000445181	2.628507161	2.231112218	2.682912331	1.825547954	1.953081196	2.406030648	2.602870881	1.954058166	2.518158184	3.309693415	2.749021733	2.525212416	3.436935413	3.164476258	3.024082853	2.471446401	3.232789748	2.440818877	2.677797176	1.954189825	2.973447531	2.79634801	2.470787036	2.779956612	2.75841531	2.177841183	1.969389222	2.187453352	1.742902259	1.712685319	1.947592873	1.58574502	1.950949164	1.765389991	2.6898198	2.259522957	1.757659475	2.061999956	1.891745797	1.580753772	2.774247907	2.576288973	2.104655688	1.829097415	2.021212366	1.400108341	2.428254625	3.35511703	2.352293045	2.016944464	1.981750865	1.614716663	1.891210123	1.514338843	1.313333176	1.97827862	2.413256483	2.291313571
	10.69541256	7.322620901	10.54724803	8.122451704	14.93534839	15.19862336	4.635453321	5.059036413	6.630028745	3.858739231	6.213575155	5.256435517	6.472337293	11.37582672	6.321421088	7.298153653	5.375238475	3.912328846	7.388742354	5.29281496	6.243097035	13.68070657	20.56311021	9.936982923	8.890516282	4.353636405	10.57962423	12.45788423	2.047285509	8.396566022	8.446138065	2.565990267	6.454070903	10.48184697	4.83050305	5.541433244	3.12961821	4.08306962	4.127439617	5.464659965	2.678630683	3.082019955	4.74753767	6.957046277	2.872183809	5.077503545	11.85962921	9.488702486	3.569730924	9.272021086	3.775046879	3.029350033	4.465674791	6.046460911	3.263317632	5.773766043	2.765433082	2.3397343	2.619773387	3.705921681	2.380171158	2.139873552	8.159519967	8.593342344
	818.1493929	455.1738521	383.0845027	224.8177767	330.2389077	409.6255976	163.9204187	153.4976409	172.3302963	120.2347198	157.5040122	239.8872751	237.233312	220.1630302	244.4814301	348.4088746	258.9928638	280.0642678	283.6975984	189.6898567	253.6411729	397.9940254	238.4364592	378.7618744	592.5190153	199.428022	383.9403901	382.582557	115.7100822	700.7408342	380.9478269	174.1916321	148.2226153	129.4142018	273.936372	248.460931	307.3850091	178.4859084	231.819892	161.0943826	152.8887869	237.3165739	215.5109871	269.5588513	218.685022	144.5751879	329.8839796	367.5941519	199.420094	151.9673786	395.6011392	113.2996491	108.2452871	341.6525103	134.3179967	105.8819324	232.6034439	286.18574	139.7983207	115.8381932	125.4072109	157.5161213	315.4803957	312.2478791
	3.530234557	4.507827644	3.763819605	3.615122724	3.336543429	3.890030617	3.657050364	2.218620554	2.266626655	2.472697821	2.572826084	2.231350277	3.266884694	3.127188202	2.181512387	3.172851571	4.947280056	3.191262419	13.28289843	3.129812819	3.166706216	3.831812907	3.083741106	4.775992566	3.620747954	2.607430325	4.03172093	2.580496724	2.000628348	2.750055213	2.86305554	2.222922419	5.319319386	2.688586762	1.90489803	3.731330558	2.287206245	3.315953446	2.359150599	1.781379271	3.609179973	2.097220676	3.116375768	2.799114507	2.992433865	1.977321615	3.61258666	2.471516656	2.176145156	1.886050856	1.895323926	2.220992768	1.654834428	3.305964499	3.405735897	2.047412771	2.068233497	2.486606468	1.891210123	1.783689775	2.263809018	1.763032354	4.001734941	2.398329663
	273.6493929	260.6738521	201.9845027	207.3177767	309.9389077	254.9255976	118.1204187	132.1976409	121.7302963	110.2347198	110.8040122	176.8872751	184.133312	225.4630302	170.2814301	154.8088746	142.9928638	140.4642678	131.1975984	189.9898567	167.7411729	251.6940254	252.2364592	260.0618744	300.6190153	172.528022	303.9403901	251.782557	110.6100822	451.5408342	317.5478269	146.2916321	114.2226153	270.4142018	219.636372	205.460931	269.0850091	110.8859084	151.019892	114.2943826	148.9887869	203.7165739	212.2109871	185.9588513	129.285022	100.6751879	349.0839796	275.2941519	132.020094	125.5673786	154.0011392	143.7996491	115.3452871	249.7525103	169.7179967	143.4819324	45.0034439	28.68574005	33.89832068	39.63819317	199.2072109	181.7161213	154.4803957	173.2478791
	531.4493929	702.7738521	628.1845027	399.8177767	823.4389077	1117.925598	487.9204187	371.8976409	278.2302963	260.9347198	203.5040122	449.4872751	439.033312	716.6630302	497.8814301	748.2088746	564.8928638	375.3642678	341.5975984	343.3898567	323.9411729	826.5940254	1069.536459	1025.561874	675.7190153	215.628022	695.1403901	418.282557	328.9100822	1542.040834	1249.747827	715.9916321	531.4226153	637.5142018	905.136372	611.960931	919.4850091	333.3859084	636.419892	321.8943826	356.3887869	417.6165739	407.9109871	847.4588513	515.485022	410.8751879	916.9839796	1308.094152	347.720094	462.8673786	422.1011392	554.8996491	380.3452871	649.6525103	415.4179967	389.7819324	396.1034439	201.48574	282.9983207	354.1381932	354.5072109	358.9161213	792.2803957	593.1478791
	132.8493929	85.47385211	101.8845027	115.1177767	207.2389077	144.0255976	33.02041868	41.89764089	42.23029626	47.73471981	37.30401216	39.68727508	61.63331195	66.36303018	44.6814301	115.7088746	44.89286381	48.1642678	55.69759841	60.88985675	40.24117296	77.99402539	71.43645917	49.66187445	49.71901532	37.82802199	46.74039015	85.68255699	43.5100822	80.24083418	72.44782693	16.50031445	3.840575577	14.05754064	43.63637203	9.623431658	16.68744507	12.90311418	15.32561267	34.7943826	11.37647867	37.4165739	28.01098714	13.30191943	39.38502197	10.86776512	83.78397961	13.66505	31.020094	17.5679034	19.90175336	19.79965041	9.661579864	59.05251032	4.893792638	4.716376254	16.1090371	6.072596772	7.102346741	9.695303009	11.82721396	8.731380077	8.159519967	14.6923182
	1005.749393	805.1738521	776.1845027	508.2177767	1016.738908	958.1255976	443.9204187	323.2976409	353.9302963	257.9347198	275.6040122	448.2872751	421.433312	494.5630302	372.6814301	675.0088746	361.3928638	311.6642678	340.3975984	392.4898567	404.9411729	681.2940254	720.5364592	693.9618744	661.9190153	306.328022	930.8403901	440.482557	252.3100822	1229.640834	1207.947827	478.1916321	344.4226153	593.0142018	500.936372	572.960931	600.0850091	300.0859084	277.619892	321.6943826	226.3887869	351.4165739	270.7109871	578.3588513	305.685022	227.5751879	786.9839796	754.5941519	295.320094	257.5673786	424.1011392	279.2996491	345.7452871	533.3525103	296.0179967	442.2819324	352.5034439	233.08574	230.7983207	329.3381932	323.8072109	438.4161213	553.2803957	645.1478791
	180.6493929	184.3738521	156.6845027	98.01777667	98.63890772	180.1255976	94.02041867	104.2976409	96.83029626	68.83471981	89.30401216	132.2872751	109.833312	137.1630302	91.5814301	108.2088746	98.29286379	112.3642678	91.09759841	112.3898567	76.04117289	191.3940254	199.2364592	149.5618744	167.4190153	92.32802199	270.8403901	113.482557	59.4100822	187.7408342	198.8478269	90.59163209	92.4226153	124.2142018	103.136372	116.260931	185.3850091	55.68590841	121.819892	92.6943826	75.98878687	60.6165739	92.31098714	116.3588513	47.08502197	57.17518786	183.5839796	231.8941519	90.82009399	110.4673786	75.30113925	74.79964908	46.4452871	161.8525103	40.21799666	63.28193242	52.7034439	24.4857453	21.39840073	57.33819317	88.60721094	70.51612133	130.1803957	150.5478791
